Id,BirthDate,DeathDate,SSN,Drivers,Passport,Prefix,First,Last,Suffix,Maiden,Marital,Race,Ethnicity,Gender,BirthPlace,Address,City,State,County,FIPS_County_Code,Zip,Lat,Lon,Healthcare_Expenses,Healthcare_Coverage,Income
fcef92a1-6fbd-ec7f-0fa7-ac3650e79e00,2011-05-29,,999-24-1755,,,,Dannie881,Wolf938,,,,white,nonhispanic,M,Plymouth  Massachusetts  US,517 Graham Passage Unit 23,Canton,Massachusetts,Norfolk County,,0,42.12639754,-71.17301378,29259.57,6773.88,316559
3206f7cc-bc9a-b870-da96-718e67ef99c0,1964-09-25,,999-81-6702,S99979745,X12662486X,Mr.,Morgan564,Feil794,,,M,white,nonhispanic,M,East Longmeadow  Massachusetts  US,747 Hagenes Annex Apt 74,Waltham,Massachusetts,Middlesex County,25017,2472,42.33728397,-71.20553745,7575.16,103599.05,10564
b3211cb0-c34b-eb9c-23b6-58726ad437ec,1962-10-11,,999-65-8025,S99954861,X11985369X,Mr.,Alphonso102,Dicki44,,,S,white,nonhispanic,M,Stoneham  Massachusetts  US,189 Ortiz Lane,Walpole,Massachusetts,Norfolk County,25021,2081,42.1858046,-71.22673504,93996.09,16637.37,208842
baed88fc-8726-ee3a-47bd-b67d38c63df5,1955-10-17,,999-45-7071,S99917941,X28830682X,Mr.,Vince741,Stamm704,,,S,white,nonhispanic,M,Georgetown  Massachusetts  US,975 Stehr Crossing Apt 70,Dalton,Massachusetts,Berkshire County,,0,42.45298716,-73.12259518,20670.44,838773.36,15728
d774f48f-17ca-2cc3-b65c-2ef459b37bb4,2021-05-24,,999-33-6187,,,,Woodrow571,Turcotte120,,,,white,nonhispanic,M,Middleton  Massachusetts  US,712 Bogisich Flat Suite 56,Hanson,Massachusetts,Plymouth County,25023,2341,42.07306801,-70.86652068,5244.51,3482.04,41122
9cbbe218-72db-1b7a-4a83-12ed0f146b48,1991-03-01,,999-66-2364,S99960310,X69585603X,Mr.,Buford910,Bogan287,,,M,white,nonhispanic,M,Boston  Massachusetts  US,692 Boyle Overpass,Northborough,Massachusetts,Worcester County,25027,1532,42.365064,-71.62856755,83520.37,883.49,73552
dbb11a89-9cb5-044e-f27d-3985b6bddcca,1970-06-04,,999-13-2773,S99931631,X27163247X,Mr.,Lynn917,Effertz744,,,M,white,nonhispanic,M,Barnstable  Massachusetts  US,846 Senger Trafficway Unit 80,Peabody,Massachusetts,Essex County,25009,1960,42.55629395,-71.06733331,580686.2,191463.63,43865
6f421a1a-ad37-b024-0f04-72eb9f786ee4,1966-12-29,,999-52-3973,S99994841,X51203868X,Mrs.,Wan724,White193,,Farrell962,D,white,nonhispanic,F,Douglas  Massachusetts  US,768 Zulauf Hollow Apt 6,Gloucester,Massachusetts,Essex County,25009,1930,42.61900641,-70.72770676,132214.52,567698.49,24925
1b980ae6-9cf6-c02a-318f-408722074c46,2013-05-17,,999-91-1416,,,,Quincy153,Carroll471,,,,white,nonhispanic,M,Auburn  Massachusetts  US,253 Hartmann Village,Stoneham,Massachusetts,Middlesex County,25017,2180,42.43541852,-71.08433067,18189.76,0,38650
21abd51c-cbc6-9823-9155-9c521395d4f5,1987-08-22,,999-79-7964,S99986436,X944221X,Mr.,Cristopher265,Turcotte120,,,D,white,nonhispanic,M,Walpole  Massachusetts  US,962 Bailey Trailer,Fall River,Massachusetts,Bristol County,25005,2720,41.72839149,-71.19708764,56758.33,24688.74,44485
2e9c0a9f-1249-69f6-d4cc-3984f805b1c8,1991-12-01,,999-72-3672,S99981010,X38306479X,Mr.,Efrain317,Schneider199,,,M,white,nonhispanic,M,Avon  Massachusetts  US,531 Breitenberg Center,Lexington,Massachusetts,Middlesex County,25017,2420,42.42242229,-71.19137121,4900,31252.03,17395
9ce77a89-e125-33b7-252b-cdfb12a047a6,1995-08-15,,999-46-3238,S99943521,X56645695X,Mrs.,Charita800,Bashirian201,,Leannon79,M,black,hispanic,F,Brookline  Massachusetts  US,354 Bogisich Spur Unit 18,Westfield,Massachusetts,Hampden County,25013,1085,42.1245214,-72.79432553,91576.09,130919.76,54522
46cd115f-10aa-7613-18ff-ca767df60987,1979-01-15,,999-20-3260,S99936093,X29499605X,Mr.,Dante562,Haag279,,,S,white,nonhispanic,M,Ludlow  Massachusetts  US,637 Cassin Road Apt 44,Plymouth,Massachusetts,Plymouth County,25023,2360,41.91259841,-70.63708405,662094.77,388900.24,50852
44d8f17c-6f00-7e82-2c41-42e214ad19f6,2011-05-10,,999-42-2275,,,,Brittny484,Eichmann909,,,,white,nonhispanic,F,Pittsfield  Massachusetts  US,345 Miller Skyway,Cambridge,Massachusetts,Middlesex County,25017,2472,42.32439707,-71.14473866,2100,24966.48,24719
928ac9a6-77b8-66d4-644d-6114b90901e9,2010-07-30,,999-96-7283,,,,Caridad510,Wiza601,,,,white,nonhispanic,F,Wilbraham  Massachusetts  US,1066 Donnelly Bay,Fall River,Massachusetts,Bristol County,25005,2747,41.56108479,-71.12074129,12285.61,17872.98,26451
59cd8751-46c1-c82f-13d9-a2b3597eb1eb,1984-09-06,2001-12-20,999-90-2990,S99958798,,,Kina737,Klein929,,,,asian,nonhispanic,F,Beijing  Beijing Municipality  CN,981 Block Forge Suite 9,Hudson,Massachusetts,Middlesex County,25017,1749,42.34926638,-71.51254444,45606.03,85830.83,27454
9676f8e8-d208-fd7f-ec31-987a78f37a03,1966-11-25,,999-48-3362,S99956238,X89566133X,Mrs.,Hildegard72,Greenfelder433,,Gottlieb798,W,white,nonhispanic,F,Sudbury  Massachusetts  US,449 Altenwerth Walk Unit 19,Lynnfield,Massachusetts,Essex County,25009,1940,42.54812954,-71.04005915,223461.39,975450.35,193050
8b9a93f6-3df3-203d-932f-f456e00d2c01,1953-10-24,2016-07-19,999-80-2526,S99999671,X6016683X,Mrs.,Mendy939,Reichert620,,Jaskolski867,M,white,nonhispanic,F,Worcester  Massachusetts  US,570 Wisoky Way Apt 25,Pocasset,Massachusetts,Barnstable County,25001,2559,41.71044768,-70.62358713,142514.39,1767962.44,6453
650ab195-c985-5204-ed8b-a66c7eebdab7,1965-10-28,,999-86-3219,S99975927,X65463044X,Ms.,Kendall673,Trantow673,,,S,white,nonhispanic,F,Boston  Massachusetts  US,670 Gorczany Village Unit 93,Lawrence,Massachusetts,Essex County,25009,1841,42.73809475,-71.21024201,545059.01,147532.61,49831
3b56a990-95c8-5777-045e-ed0147e6ad3c,1957-12-11,,999-71-3633,S99923550,X70721229X,Mr.,Theo630,Kihn564,,,M,white,nonhispanic,M,Melrose  Massachusetts  US,808 Bogisich Trafficway Apt 71,Somerville,Massachusetts,Middlesex County,25017,2138,42.42087794,-71.14758849,120676.8,535394.67,40357
3a1a26a5-f74c-4144-9c1e-7a3eb982b75f,1983-11-28,,999-87-1275,S99965934,X62374855X,Mr.,Elton404,Robel940,,,M,white,nonhispanic,M,South Dennis  Massachusetts  US,125 Beer Brook,Millis,Massachusetts,Norfolk County,,0,42.14535138,-71.34021858,59083.24,1276.55,63834
e388a0a2-d98c-55f7-e010-9901916b1c41,1984-09-06,,999-67-9175,S99987440,X78854067X,Mrs.,Laureen100,Schaden604,,Grant908,M,asian,nonhispanic,F,Chongqing  Chongqing Municipality  CN,1017 Koch Junction Apt 13,Hudson,Massachusetts,Middlesex County,25017,1749,42.41476352,-71.53834963,252764.77,1463309.9,27454
91356f3d-7765-7eac-25ef-6ead6b408811,1990-12-06,,999-96-5440,S99952809,X5152766X,Mrs.,Hassie51,Lakin515,,Barrows492,M,white,nonhispanic,F,Gardner  Massachusetts  US,558 Thiel Forge Apt 7,Newton,Massachusetts,Middlesex County,25017,2467,42.37927569,-71.2011196,110684.91,115641.81,64458
2ff1d955-7f34-3c3c-ce40-52e96f211836,2003-09-08,2014-04-22,999-49-2920,,,,Jovan870,Olson653,,,,asian,nonhispanic,F,Braintree  Massachusetts  US,607 Bartell Rest Suite 89,Boston,Massachusetts,Suffolk County,25025,2109,42.27810257,-71.11745757,18807.68,32173.49,96613
c9784b0e-1724-fc0c-ca85-40efd657b847,1962-05-30,1982-06-02,999-15-3609,S99928349,,Mr.,Warner493,Barrows492,,,,asian,nonhispanic,M,Agawam  Massachusetts  US,279 Kuphal Path,Medford,Massachusetts,Middlesex County,25017,2145,42.46787661,-71.13286564,37691.67,9694.68,50322
78047e41-758e-8aa7-1484-37079cc1769c,1953-10-24,,999-91-8655,S99941673,X84065939X,Ms.,Marnie892,Fay398,,,S,white,nonhispanic,F,Fall River  Massachusetts  US,1067 Kunze Street Suite 46,Pocasset,Massachusetts,Barnstable County,25001,2559,41.72990456,-70.62238199,14386.62,954187.41,6453
d6ae56ff-f3f3-7bbd-f0de-89008cc7eb02,2003-09-08,,999-45-9210,S99990820,X27221960X,Ms.,Cecil300,Kris249,,,,asian,nonhispanic,F,Gloucester  Massachusetts  US,215 Goodwin Alley,Boston,Massachusetts,Suffolk County,25017,2467,42.26264079,-71.11402149,54804.36,201537.4,96613
aedeb065-ff0e-ece2-3ebc-81ea6682b0b3,1964-07-21,,999-29-1786,S99912358,X87161161X,Mr.,Pablo44,Terán294,,,M,black,hispanic,M,Portsmouth  Saint John Parish  DM,985 Williamson Meadow,Peabody,Massachusetts,Essex County,25009,1940,42.58371961,-70.99473923,12438.21,142262.64,23186
812b45b7-20ed-09c5-3a99-4f6665862149,1950-09-06,,999-93-1511,S99937404,X79334523X,Mr.,Tory770,Pfeffer420,,,M,white,nonhispanic,M,Malden  Massachusetts  US,811 Douglas Port,Malden,Massachusetts,Middlesex County,25017,2155,42.46208238,-71.06078373,173404.47,633473.81,91704
4956df6a-45f1-d940-55e0-8161905f17f2,2012-05-18,,999-46-9171,,,,Leroy603,Carter549,,,,white,nonhispanic,M,Ipswich  Massachusetts  US,553 Howell Village Suite 60,Sharon,Massachusetts,Norfolk County,25021,2067,42.15315367,-71.22446756,16518.14,688.95,97422
70f54c7f-9811-4845-55f4-e0b77aacba63,1962-05-30,,999-17-9709,S99955450,X60356921X,Mr.,Bobby524,Dickinson688,,,M,asian,nonhispanic,M,Peabody  Massachusetts  US,200 Bashirian Ferry Suite 97,Medford,Massachusetts,Middlesex County,25017,2155,42.43550324,-71.1489037,79635.97,8505.47,50322
8af4046f-18ca-94f9-f00d-e546a9511c9e,1971-09-26,,999-30-5381,S99946092,X72830924X,Mrs.,Genevive999,Rice937,,Bahringer146,M,white,nonhispanic,F,Brockton  Massachusetts  US,457 Deckow Run,Harvard,Massachusetts,Worcester County,,0,42.46073468,-71.56093198,184952.02,590412.21,139529
3ff2f362-af28-9555-1f8e-71d1a60b7289,1922-08-10,2015-02-06,999-90-3130,S99968679,X33292881X,Mrs.,Shizue554,Lubowitz58,,Steuber698,M,white,nonhispanic,F,Lynn  Massachusetts  US,1048 Kertzmann Promenade,Wakefield,Massachusetts,Middlesex County,25017,1880,42.48627388,-71.03664833,252482.3,1213888.27,139375
6268d952-3a59-9bee-06ca-26740680f80a,1964-01-29,2023-05-17,999-66-4605,S99955250,X2870083X,Mr.,Ezra452,Bayer639,,,W,white,nonhispanic,M,Somerville  Massachusetts  US,330 Hickle Course Suite 76,Milton,Massachusetts,Norfolk County,25021,2186,42.22993008,-71.08987671,120966.85,368686.3,42657
